NAME,LINK,FROM,CUISINE
Pizza Sandwiches,https://www.instagram.com/reel/C3X0pTfIJev/?igsh=MWN6ZWp5OWE1Zjl6MA==,Instagram,None
Garlic Mashroom,https://www.instagram.com/reel/C1yWdmcInGo/?igsh=d2ppbjM5bTlueTI3,Instagram,None
Chicken Manchurian,https://www.instagram.com/p/C2rQhJmLBxq/?igsh=MWpwbzRvZDU1eDcxMA==,Instagram,None
Soya Paneer Kurma,https://www.instagram.com/reel/Cz5-IjLxRgq/?igsh=MWVmNjd2cmNmY2s1Zg==,Instagram,None
Egg Sandwich,https://www.instagram.com/reel/C2tvf6IvGFd/?igsh=MXY0Z3NmOWF3NHJ2cA==,Instagram,None
Butter Garlic Chicken,https://www.instagram.com/reel/C3P1Ttyp63C/?igsh=b3FvZGtzOTg1czZ6,Instagram,None
Chicken And Chips,https://www.instagram.com/p/C20txRjN5Mf/?igsh=Zm1zMnNybHh3bWU4,Instagram,None
Fh Aha,https://www.instagram.com/reel/C3SgCynJ8UM/?igsh=MWlmYWVsdDkwNDZocg==,Instagram,None
Thai Chicken,https://www.instagram.com/reel/C2-ARNJMqoM/?igsh=Zmk5ZjBwNDBhcXhx,Instagram,None
Podi,https://www.instagram.com/reel/C0ysZWRShra/?igsh=MWtrZ3Fud2czbGFkOQ==,Instagram,None
Peri Peri,https://www.instagram.com/reel/Cz261UKy8V5/?igsh=dml0azE5M2cxNHhm,Instagram,None
Crispy Chicken Vada,https://www.instagram.com/reel/C0Jt6SrPe8k/?igsh=MXI0Y2liOHpyNGEzNA==,Instagram,None
Maggie,https://www.instagram.com/reel/C2t_PtmylAn/?igsh=MWF0emwxMXhrNDl2Yg==,Instagram,None
Bread,https://www.instagram.com/reel/C1cZTiLo_T9/?igsh=ZGgwd2Z3NHh6cXl6,Instagram,None
Shezuwan Sauce,https://www.instagram.com/reel/C2o0UkTKe3j/?igsh=MXdmZGkzaHVsbGJjOA==,Instagram,None
Crispy Baby Corn,https://www.instagram.com/reel/C2pWHScP8Kr/?igsh=a2tyMDU4eDIzMW4z,Instagram,None
Sausy Dip,https://www.instagram.com/reel/C19TTBxSMqc/?igsh=MWZsM2V3cXpmcHA0Yw==,Instagram,None
Mexican Salad,https://www.instagram.com/reel/C13-BZ2rVRJ/?igsh=MXNzc3k0bW5rNGkxNQ==,Instagram,None
Castue Chicken,https://www.instagram.com/reel/C0WUGr1pMNi/?igsh=MTM0dTk1Ymo1eWozcQ==,Instagram,None
Lasagna,https://www.instagram.com/reel/C1HjQp2uGL8/?igsh=MXQzaW85c2l2OWNoag==,Instagram,None
Rasmalai Cake,https://www.instagram.com/reel/CzWH2R-B8_g/?igsh=MXRxMzdkbXlwNmF6bQ==,Instagram,None
Crispy Paneer,https://www.instagram.com/reel/C11y8F-oGK0/?igsh=MThvZnpudmIwZXRwMQ==,Instagram,None
Burfi.,https://www.instagram.com/reel/C1oQNx0M7IZ/?igsh=MXQ4Z2s3ODF0N21lbw==,Instagram,None
Kobbari Pachadi,https://www.instagram.com/reel/C1wUILnJKXo/?igsh=dGZqeDN0dzRueXU1,Instagram,None
Dal Makhani,https://www.instagram.com/reel/CzvF7XdvjnU/?igsh=MTNub3g3MjJ4NzE5ZA==,Instagram,None
Mysore Pak,https://www.instagram.com/reel/C0CFg60PBHK/?igsh=MWg3NGgwcGpja3E4MA==,Instagram,None
Thiru Parthi Vada,https://www.instagram.com/reel/C1CYU8ZJ5SI/?igsh=ZTJwdTAzNmhtODRu,Instagram,None
Katta Meets,https://www.instagram.com/reel/Czaog5qBdD8/?igsh=MW1lcXR1cnc2OWNqZA==,Instagram,None
Kandhi Podi,https://www.instagram.com/reel/C0MDSr-v696/?igsh=MXY0bDN6dXRyOHdq,Instagram,None
Onion Masal,https://www.instagram.com/reel/C1humUavKNv/?igsh=YXQyY3l5cHYxajF5,Instagram,None
Aloo Mutter,https://www.instagram.com/reel/C1hM-APv0yD/?igsh=MXVnYmgwMm8xZDR4aQ==,Instagram,None
Parata Teqnique,https://www.instagram.com/reel/C1Z1T70sjBh/?igsh=NWN1YWN6eXh2ejhp,Instagram,None
Methi Chatman Masala,https://www.instagram.com/reel/C1Mk18Nvd6z/?igsh=MXF0cXVpcHVqY3p0eQ==,Instagram,None
Paneer Ghee Roast,https://www.instagram.com/reel/C1V_T3jvDgC/?igsh=MWNqeGcwYXRzemszNQ==,Instagram,None
Garlic Methi Curry,https://www.instagram.com/reel/C0WcrPOJNlV/?igsh=MXIxcDlwd2RhbXUyag==,Instagram,None
Haryali Anda Tikka Masala,https://www.facebook.com/share/r/MdVXPtGZwcD2em5o/?mibextid=7niigQ,Facebook,None
Paneer Afghanistan Burri,https://www.instagram.com/p/C1ZBEaWockk/?igsh=Zndndmh3OXQ3bnMw,Instagram,None
Chilly Oil,https://www.instagram.com/reel/CqA9GKsAJ7D/?igsh=aDNwcGJ6NXQzc3c0,Instagram,None
Egg Salad,https://www.instagram.com/reel/CwnNy8ege9O/?igsh=Y3lxdzQ2NzA2Zmk3,Instagram,None
Braised Chicken Thighs,https://www.facebook.com/reel/264019026695307?fs=e&s=TIeQ9V&mibextid=Xa0RJd,Facebook,None
Mongolian Chicken,https://www.facebook.com/reel/288114443649843?fs=e&s=TIeQ9V&mibextid=Xa0RJd,Facebook,None
Masala Paw,https://www.instagram.com/p/C1WMQyDMxo8/?igsh=NHA0cTZ1aXkyZTU5,Instagram,None
Garlic Parmesan Chicken Skewers,https://www.instagram.com/p/C1ViMmOIMvn/?igsh=enltYnBlanhnOGlp,Instagram,None
Butter Chicken,https://www.facebook.com/share/r/ZPaZVd5MwwnKZErf/?mibextid=7niigQ,Facebook,None
Dragon Chicken,https://www.facebook.com/share/r/rd9VLgBXjmL7xVpJ/?mibextid=7niigQ,Facebook,None
Peri Peri,https://www.instagram.com/reel/C1PBVAhvZ3q/?igsh=MTkzaXlkdm00eXlxMA==,Instagram,None
Dynamite Shrimp,https://www.instagram.com/reel/C1CPnnCLB1H/?igsh=eG0xaXo4bjk0eXE1,Instagram,None
Mysore Bonda,https://www.instagram.com/reel/C1KSjOUCVt0/?igsh=djg1ampnb2FraGhn,Instagram,None
Pomogaranatr Mojito,https://www.instagram.com/reel/CzGwVcyPhcz/?igsh=MXZwOXZtYjZncHVhbw==,Instagram,None
Mushroom Ghee Roast,https://www.instagram.com/reel/C1L6kGHoODK/?igsh=MTdwcTV2bWZqanp6dA==,Instagram,None
Cranberry Chees Nuts,https://www.instagram.com/reel/C1KiuFNoJTr/?igsh=Yjg2Y3NwN3kzN2ln,Instagram,None
Veg Lasagna,https://www.instagram.com/reel/C1AN3kYJirG/?igsh=bHh1dXJiOTNueDh2,Instagram,None
Karelia Fry,https://www.instagram.com/reel/CzLad1zy6qk/?igsh=YTAxZzBjcGlpNXFs,Instagram,None
Crispy Egg Salad,https://www.instagram.com/reel/CyipBgdO9T5/?igsh=anFvZGIyM2pmcW0z,Instagram,None
Italian Brushetta,https://www.instagram.com/reel/C1HzMwCvlOQ/?igsh=MW5vbTF6eXFmY3J3bw==,Instagram,None
Potatoes Stuffed Mirchi Bajji,https://www.instagram.com/reel/C03-a1CSKFL/?igsh=MXNmOXg4ZmM5ZDQyYQ==,Instagram,None
Wallnut Halwa,https://www.instagram.com/reel/C1E6jI7y_Kv/?igsh=MWh2Ym1rcDg1YjYzdg==,Instagram,None
Onion Pakodi,https://www.instagram.com/reel/C1FekfrybDG/?igsh=MWp0MDFyNW8zZWV3bQ==,Instagram,None
Hyderabad’S Style Chicken,https://www.instagram.com/reel/C0oZjtCpYc0/?igsh=MWhmejZ1dHcxNnl6Zw==,Instagram,None
Milk Cake,https://www.instagram.com/reel/C0vk0SdMDYe/?igsh=MTY1ZmV1eWNmejhzOQ==,Instagram,None
Lasania,https://www.instagram.com/reel/CzrgLDTP_Fv/?igsh=eGg2bjlobnZ6NnQ0,Instagram,None
Methi Be San Mattar,https://www.instagram.com/reel/C04LMpGofPP/?igsh=MWt3aGd2dTN4dW9leQ==,Instagram,None
Afghanistan Mashroom,https://www.instagram.com/reel/CztJyo-Lusk/?igsh=b2R2M3U1YzByYTFy,Instagram,None
Kesarbadham,https://www.instagram.com/reel/C0G_1P2L4V9/?igsh=bHphb3d6ZzExcWQ=,Instagram,None
Crispy Baby Corn,https://www.instagram.com/reel/C0QpDhiLoPz/?igsh=MW93MDBzdTMzcTB5cQ== ,Instagram,None
Bro Ki  Almond Soup,https://www.instagram.com/reel/C0TOFVbLH2f/?igsh=MTExbHdjb3BzMzcwNA==,Instagram,None
Methi Malai,https://www.instagram.com/reel/C0jFpGxKtlQ/?igsh=MTZwc254Y2dxNmhhdA==,Instagram,None
Loaded Bread Dipping Oil Appetizer,https://www.instagram.com/reel/C0zGOSNsl0v/?igsh=MXZmZzQ5ZnFmcHg4cA==,Instagram,None
Hyderabadi Paneer,https://www.instagram.com/reel/C0T2mE0sSKk/?igsh=azBzcTE4ejcwNnc1,Instagram,None
Chicken Lollipop,https://www.instagram.com/reel/C080NCxPzoO/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Chicken Soup,https://www.facebook.com/share/r/bwsHfbUbsAXhxfVg/?mibextid=7niigQ,Facebook,None
Chicken Piccata,https://www.instagram.com/reel/C0rHBaqNSus/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Focaccia,https://www.instagram.com/reel/CzesuSIqOYR/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Skillet Chicken Thighs With Mushroom Gravy,https://www.instagram.com/p/C0g-7xfvOV1/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Pindi Chana,https://www.instagram.com/reel/C0q0r4nLkyT/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Garlic Butter Fettuccine And Shrimp ,https://www.instagram.com/reel/Cy06M2uOlaQ/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Chicken Wings In Spicy Cream Sauce,https://www.instagram.com/reel/C0UMQ47MoDL/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Desi Cheesy Garlic Bread,https://www.instagram.com/reel/C0gFCssoT5p/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Easy Mushroom Pasta ,https://www.instagram.com/reel/CxKFrLBCKWV/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Hyderabadi Shadi Wala Red Chicken,https://www.instagram.com/reel/C0ogKyXBUVS/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Green Chutney,https://www.instagram.com/reel/CzknXjrP6hh/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Crunchy Baked Cauliflower,https://www.instagram.com/reel/CzG0_OJu_gt/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Karahi Gosht,https://www.instagram.com/reel/CxNjY_Go3Pj/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Green Goddess Dip,https://www.instagram.com/reel/CyOaLWuqMKA/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Maggie,https://www.instagram.com/p/C0gqN4kPsLT/?igshid=N2ViNmM2MDRjNw==,Instagram,None
All Purpose Gravy,https://www.facebook.com/share/r/Woyt6nf29o18bb8h/?mibextid=UalRPS,Facebook,None
Manchow Soup,https://www.facebook.com/share/r/81ENUXQB4n9RFwjM/?mibextid=UalRPS,Facebook,None
Nawabi Chicken Korma,https://www.instagram.com/reel/CxF6PIBIVuX/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Butter,https://www.instagram.com/reel/Cz99bfHSB8P/?igshid=N2ViNmM2MDRjNw==,Instagram,None
Lasooni Methi,https://www.instagram.com/reel/CwiQyUaoUap/?igshid=MzRlODBiNWFlZA==,Instagram,None
Mongolian Chicken,https://www.instagram.com/reel/CyD0JEWrtg8/?igshid=MzRlODBiNWFlZA==,Instagram,None
Butter Garlic Shrimp,https://www.instagram.com/reel/CxCql61yZOS/?igshid=MzRlODBiNWFlZA==,Instagram,None
Shrimp With Creamy Garlic Sauce ,https://www.instagram.com/reel/CwqibOyPmQW/?igshid=MzRlODBiNWFlZA==,Instagram,None
Bagara Rice,https://www.instagram.com/reel/Cy0dtLLPoWn/?igshid=MzRlODBiNWFlZA==,Instagram,None
Energy Drink,https://www.instagram.com/reel/Cyatx0etbwr/?igshid=MzRlODBiNWFlZA==,Instagram,None
Peanut Salad,https://www.instagram.com/reel/CydXAopNFjd/?igshid=MzRlODBiNWFlZA==,Instagram,None
Dum Aloo,https://www.facebook.com/reel/293477603457522?fs=e&s=TIeQ9V&mibextid=Y5dkib,Facebook,None
Jamison Ka Ghosla,https://www.instagram.com/reel/CvwNkl3Mmsb/?igshid=MzRlODBiNWFlZA==,Instagram,None
Fruit Salad,https://www.facebook.com/reel/179218131786524?fs=e&s=TIeQ9V&mibextid=mVyxMt,Facebook,None
Dhaba Style Kaju Masala,https://www.instagram.com/reel/CtLlYGBIYeG/?igshid=MzRlODBiNWFlZA==,Instagram,None
Shimla Mirch Masala,https://www.instagram.com/reel/CySawexP23N/?igshid=MzRlODBiNWFlZA==,Instagram,None
Chicken Marsala,https://www.instagram.com/reel/C4N4ECgNXJJ/?igsh=MW1vZ29jMmJzdGxqNA==,Instagram,None
Kulche,https://www.instagram.com/reel/C4OOQCTLz-i/?igsh=MTFmanE0ZDU0eWdrMw==,Instagram,None
Shejuwan Chutney,https://www.instagram.com/reel/C1w6VURNzp5/?igsh=MXVsczluNG10cHJydA==,Instagram,None
Shejuwan Chutney 2,https://www.instagram.com/reel/C4HuDRILSAu/?igsh=dXNnZ3Rja3dyaHVk,Instagram,None
Chicken Palav,https://www.instagram.com/reel/C3hNiTjoyGQ/?igsh=NTE4eW1majVtZnc4,Instagram,None
Circular Samosa,https://www.instagram.com/reel/C37JYKvIyZf/?igsh=NTlhYjdwaWM2Z3Np,Instagram,None
Kaju Masala,https://www.instagram.com/reel/C37dPTcv_Q-/?igsh=ZWk0MXl0YnpjbWk3,Instagram,None
Choumain,https://www.instagram.com/reel/C1nYOcpPzxx/?igsh=MW41dzc2enVrendhOA==,Instagram,None
Gravy,https://www.instagram.com/reel/C3xGSLjxGDZ/?igsh=YjgzbW83eW91Yzk3,Instagram,None
Tomato Roti Pachadi,https://www.instagram.com/reel/C3rkso8MyPx/?igsh=ODF4czRrM2c2OGo1,Instagram,None
Rasam,https://www.instagram.com/reel/C3zOXpUs5QT/?igsh=MThtbHFyajh1NWZqeA==,Instagram,None
Mullangi Pachadi,https://www.instagram.com/reel/C29HG6qNXr1/?igsh=MXVrbTd5b3ZranpiNQ==,Instagram,None
Pachi Tomato Pachadi,https://www.instagram.com/reel/C2eO0-qtltP/?igsh=a2w0YWFxeWloMzZn,Instagram,None
Cauliflower Pachadi,https://www.instagram.com/reel/C0oBhJ7s6_8/?igsh=MTlxNGV0Yms4aXJjbg==,Instagram,None
Kakarkay Fry,https://www.instagram.com/reel/C0OWwBfsBkc/?igsh=MWJwcWdyb2hmbzRycw==,Instagram,None
Garam Masala,https://www.instagram.com/reel/Czxi9GOo2a_/?igsh=MWcweTZ2eG16czBtZQ==,Instagram,None
Vankay And Dosakay Pachadi,https://www.instagram.com/reel/CzVPDi4t6Js/?igsh=aGNteWZjd2JjdDJ3,Instagram,None
Pappu Cary,https://www.instagram.com/reel/CzIY96gNckQ/?igsh=MTNxcm0xbzh1czRmeg==,Instagram,None
Kandhi Podi,https://www.instagram.com/reel/CxmbXbCIHPM/?igsh=OG1vdGRnZHJiMGF4,Instagram,None
Pasta Chips,https://www.instagram.com/reel/C3nIvKivkp6/?igsh=NXdtdTAycHBpYnc2,Instagram,None
Crispy Fried Popcorn Chicken With Periperi Masala,https://www.instagram.com/reel/C3u6LoABeGu/?igsh=b3d0dmN5a3VxNW53,Instagram,None
Mushrooms Curry,https://www.instagram.com/reel/C2gLtjlCQu1/?igsh=MW1nbmU4aWNwanJ0cA==,Instagram,None
Pepper Corn Sause,https://www.instagram.com/reel/C48ocstr5Wz/?igsh=cmxjMDQwdzJ3cTMw,Instagram,None
Aloo Batani Kurma,https://www.instagram.com/reel/C39pvgUvSzk/?igsh=MTVoZ3FqMXd2NWRwNw==,Instagram,None
Badhusha,https://www.instagram.com/reel/C40FvAQv9wX/?igsh=MXM5cDUwNjFzZGZ1bw==,Instagram,None
Milk Shakes,https://www.instagram.com/reel/C4u7-S0LShR/?igsh=MWF5ZmU3dXpvcDEyNg==,Instagram,None
Tusks. Sauce Chicken,https://www.instagram.com/reel/C4uBUdaxwr8/?igsh=MW1pa3RlMnE5MWJydA==,Instagram,None
Garlic Mayonnaise,https://www.instagram.com/reel/C4qyUjYoZ4k/?igsh=bDdjM2llMjh6MDI0,Instagram,None
Haleem,https://youtu.be/jYromGqXhwo?si=bX9F5vBIOlw86BSV,Youtube,None
Chicken Karahi,https://www.instagram.com/reel/C4l1YNpSaz8/?igsh=aWpqcm03MmJ0Y3Fp,Instagram,None
Pizza Sandwiches,https://www.instagram.com/reel/C3X0pTfIJev/?igsh=MWN6ZWp5OWE1Zjl6MA==,Instagram,None
Garlic Mashroom,https://www.instagram.com/reel/C1yWdmcInGo/?igsh=d2ppbjM5bTlueTI3,Instagram,None
Chicken Manchurian,https://www.instagram.com/p/C2rQhJmLBxq/?igsh=MWpwbzRvZDU1eDcxMA==,Instagram,None
Soya Paneer Kurma,https://www.instagram.com/reel/Cz5-IjLxRgq/?igsh=MWVmNjd2cmNmY2s1Zg==,Instagram,None
Egg Sandwich,https://www.instagram.com/reel/C2tvf6IvGFd/?igsh=MXY0Z3NmOWF3NHJ2cA==,Instagram,None
Butter Garlic Chicken,https://www.instagram.com/reel/C3P1Ttyp63C/?igsh=b3FvZGtzOTg1czZ6,Instagram,None
Chicken And Chips,https://www.instagram.com/p/C20txRjN5Mf/?igsh=Zm1zMnNybHh3bWU4,Instagram,None
Fucacha,https://www.instagram.com/reel/C3SgCynJ8UM/?igsh=MWlmYWVsdDkwNDZocg==,Instagram,None
Thai Chicken,https://www.instagram.com/reel/C2-ARNJMqoM/?igsh=Zmk5ZjBwNDBhcXhx,Instagram,None
Podi,https://www.instagram.com/reel/C0ysZWRShra/?igsh=MWtrZ3Fud2czbGFkOQ==,Instagram,None
Peri Peri,https://www.instagram.com/reel/Cz261UKy8V5/?igsh=dml0azE5M2cxNHhm,Instagram,None
Crispy Chicken Vada,https://www.instagram.com/reel/C0Jt6SrPe8k/?igsh=MXI0Y2liOHpyNGEzNA==,Instagram,None
Maggie,https://www.instagram.com/reel/C2t_PtmylAn/?igsh=MWF0emwxMXhrNDl2Yg==,Instagram,None
Bread,https://www.instagram.com/reel/C1cZTiLo_T9/?igsh=ZGgwd2Z3NHh6cXl6,Instagram,None
Shezuwan Sauce,https://www.instagram.com/reel/C2o0UkTKe3j/?igsh=MXdmZGkzaHVsbGJjOA==,Instagram,None
Crispy Baby Corn,https://www.instagram.com/reel/C2pWHScP8Kr/?igsh=a2tyMDU4eDIzMW4z,Instagram,None
Creamy Spinach & Corn Dip,https://www.instagram.com/reel/C19TTBxSMqc/?igsh=MWZsM2V3cXpmcHA0Yw==,Instagram,None
Mexican Salad,https://www.instagram.com/reel/C13-BZ2rVRJ/?igsh=MXNzc3k0bW5rNGkxNQ==,Instagram,None
Cashew Chicken,https://www.instagram.com/reel/C0WUGr1pMNi/?igsh=MTM0dTk1Ymo1eWozcQ==,Instagram,None
Lasagna,https://www.instagram.com/reel/C1HjQp2uGL8/?igsh=MXQzaW85c2l2OWNoag==,Instagram,None
Rasmalai Cake,https://www.instagram.com/reel/CzWH2R-B8_g/?igsh=MXRxMzdkbXlwNmF6bQ==,Instagram,None
Crispy Paneer,https://www.instagram.com/reel/C11y8F-oGK0/?igsh=MThvZnpudmIwZXRwMQ==,Instagram,None
Burfi,https://www.instagram.com/reel/C1oQNx0M7IZ/?igsh=MXQ4Z2s3ODF0N21lbw==,Instagram,None
Kobbari Pachadi,https://www.instagram.com/reel/C1wUILnJKXo/?igsh=dGZqeDN0dzRueXU1,Instagram,None
Dal Makhani,https://www.instagram.com/reel/CzvF7XdvjnU/?igsh=MTNub3g3MjJ4NzE5ZA==,Instagram,None
Mysore Pak,https://www.instagram.com/reel/C0CFg60PBHK/?igsh=MWg3NGgwcGpja3E4MA==,Instagram,None
Thiru Parthi Vada,https://www.instagram.com/reel/C1CYU8ZJ5SI/?igsh=ZTJwdTAzNmhtODRu,Instagram,None
Katta Meets,https://www.instagram.com/reel/Czaog5qBdD8/?igsh=MW1lcXR1cnc2OWNqZA==,Instagram,None
Kandhi Podi,https://www.instagram.com/reel/C0MDSr-v696/?igsh=MXY0bDN6dXRyOHdq,Instagram,None
Vinegar Onion Masala Recipe,https://www.instagram.com/reel/C1humUavKNv/?igsh=YXQyY3l5cHYxajF5,Instagram,None
Aalu Matar,https://www.instagram.com/reel/C1hM-APv0yD/?igsh=MXVnYmgwMm8xZDR4aQ==,Instagram,None
Methi Chatman Masala,https://www.instagram.com/reel/C1Mk18Nvd6z/?igsh=MXF0cXVpcHVqY3p0eQ==,Instagram,None
Paneer Ghee Roast,https://www.instagram.com/reel/C1V_T3jvDgC/?igsh=MWNqeGcwYXRzemszNQ==,Instagram,None
Garlic Methi Curry,https://www.instagram.com/reel/C0WcrPOJNlV/?igsh=MXIxcDlwd2RhbXUyag==,Instagram,None
Hariyali Aanda Tikka Masala,https://www.facebook.com/share/r/MdVXPtGZwcD2em5o/?mibextid=7niigQ ,Facebook,None
Paneer Afghanistan Burri,https://www.instagram.com/p/C1ZBEaWockk/?igsh=Zndndmh3OXQ3bnMw,Instagram,None
Chilly Oil,https://www.instagram.com/reel/CqA9GKsAJ7D/?igsh=aDNwcGJ6NXQzc3c0,Instagram,None
Egg Salad,https://www.instagram.com/reel/CwnNy8ege9O/?igsh=Y3lxdzQ2NzA2Zmk3,Instagram,None
Braised Chicken Thighs,https://www.facebook.com/reel/264019026695307?fs=e&s=TIeQ9V&mibextid=Xa0RJd ,Facebook,None
Mongolian Chicken,https://www.facebook.com/reel/288114443649843?fs=e&s=TIeQ9V&mibextid=Xa0RJd,Facebook,None
Masala Paw,https://www.instagram.com/p/C1WMQyDMxo8/?igsh=NHA0cTZ1aXkyZTU5,Instagram,None
Garlic Parmesan Chicken Skewers,https://www.instagram.com/p/C1ViMmOIMvn/?igsh=enltYnBlanhnOGlp,Instagram,None
Butter Chicken,https://www.facebook.com/share/r/ZPaZVd5MwwnKZErf/?mibextid=7niigQ,Facebook,None
Shashi Aloo,https://www.instagram.com/p/C1MkIVMSEYQ/?igsh=MXJ1ZGV0YmdlMDlnZQ==,Instagram,None
Dragon Chicken,https://www.facebook.com/share/r/rd9VLgBXjmL7xVpJ/?mibextid=7niigQ,Facebook,None
Peri Peri,https://www.instagram.com/reel/C1PBVAhvZ3q/?igsh=MTkzaXlkdm00eXlxMA==,Instagram,None
Dynamite Shrimp,https://www.instagram.com/reel/C1CPnnCLB1H/?igsh=eG0xaXo4bjk0eXE1,Instagram,None
Mysore Bonda,https://www.instagram.com/reel/C1KSjOUCVt0/?igsh=djg1ampnb2FraGhn,Instagram,None
Pomogaranatr Mojito,https://www.instagram.com/reel/CzGwVcyPhcz/?igsh=MXZwOXZtYjZncHVhbw==,Instagram,None
Mushroom Ghee Roast,https://www.instagram.com/reel/C1L6kGHoODK/?igsh=MTdwcTV2bWZqanp6dA==,Instagram,None
Cranberry Chees Nuts,https://www.instagram.com/reel/C1KiuFNoJTr/?igsh=Yjg2Y3NwN3kzN2ln,Instagram,None
Veg Lasagna,https://www.instagram.com/reel/C1AN3kYJirG/?igsh=bHh1dXJiOTNueDh2,Instagram,None
Karelia Fry,https://www.instagram.com/reel/CzLad1zy6qk/?igsh=YTAxZzBjcGlpNXFs,Instagram,None
Crispy Egg Salad,https://www.instagram.com/reel/CyipBgdO9T5/?igsh=anFvZGIyM2pmcW0z,Instagram,None
Italian Brushetta,https://www.instagram.com/reel/C1HzMwCvlOQ/?igsh=MW5vbTF6eXFmY3J3bw==,Instagram,None
Potatoes Stuffed Mirchi Bajji,https://www.instagram.com/reel/C03-a1CSKFL/?igsh=MXNmOXg4ZmM5ZDQyYQ==,Instagram,None
Walnut Halwa,https://www.instagram.com/reel/C1E6jI7y_Kv/?igsh=MWh2Ym1rcDg1YjYzdg==,Instagram,None
Onion Pakodi,https://www.instagram.com/reel/C1FekfrybDG/?igsh=MWp0MDFyNW8zZWV3bQ==,Instagram,None
Hyderabad’S Style Chicken,https://www.instagram.com/reel/C0oZjtCpYc0/?igsh=MWhmejZ1dHcxNnl6Zw==,Instagram,None
Milk Cake,https://www.instagram.com/reel/C0vk0SdMDYe/?igsh=MTY1ZmV1eWNmejhzOQ==,Instagram,None
Mandi,https://github.com/r0han99/food-recipe-warehouse,Facebook,Indian Non-Veg Snack
